Time,Tobii_Timestamp,GlobalDominantHand_Rotation_X,GlobalDominantHand_Rotation_Y,GlobalDominantHand_Rotation_Z,GlobalDominantHand_Position_X,GlobalDominantHand_Position_Y,GlobalDominantHand_Position_Z,GlobalNonDominantHand_Rotation_X,GlobalNonDominantHand_Rotation_Y,GlobalNonDominantHand_Rotation_Z,GlobalNonDominantHand_Position_X,GlobalNonDominantHand_Position_Y,GlobalNonDominantHand_Position_Z,LocalDominantHand_Rotation_X,LocalDominantHand_Rotation_Y,LocalDominantHand_Rotation_Z,LocalDominantHand_Position_X,LocalDominantHand_Position_Y,LocalDominantHand_Position_Z,LocalNonDominantHand_Rotation_X,LocalNonDominantHand_Rotation_Y,LocalNonDominantHand_Rotation_Z,LocalNonDominantHand_Position_X,LocalNonDominantHand_Position_Y,LocalNonDominantHand_Position_Z,Camera_Rotation_X,Camera_Rotation_Y,Camera_Rotation_Z,Camera_Position_X,Camera_Position_Y,Camera_Position_Z,Head_Rotation_X,Head_Rotation_Y,Head_Rotation_Z,Head_Position_X,Head_Position_Y,Head_Position_Z,Eye_GazePosition_Left_Position_X,Eye_GazePosition_Left_Position_Y,Eye_GazePosition_Left_Position_Z,Eye_GazePosition_Right_Position_X,Eye_GazePosition_Right_Position_Y,Eye_GazePosition_Right_Position_Z,Eye_GazeDirection_Left_Position_X,Eye_GazeDirection_Left__Position_Y,Eye_GazeDirection_Left__Position_Z,Eye_GazeDirection_Right_Position_X,Eye_GazeDirection_Right__Position_Y,Eye_GazeDirection_Right__Position_Z,CombinedGazeRayWorld_Eye_Direction_X,CombinedGazeRayWorld_Eye_Direction_Y,CombinedGazeRayWorld_Eye_Direction_Z,CombinedGazeRayWorld_Eye_Position_X,CombinedGazeRayWorld_Eye_Position_Y,CombinedGazeRayWorld_Eye_Position_Z,PupilDiameter_Left,PupilDiameter_Right,PupilPositionInTrackingArea_Left_X,PupilPositionInTrackingArea_Left_Y,PupilPositionInTrackingArea_Right_X,PupilPositionInTrackingArea_Right_Y,UserAreaInput
0,51663520645,-0.1042997,0.03904643,0.04398789,-0.2433171,1.129187,-0.05662048,-0.1808118,-0.2579211,-0.431484,-0.4644359,1.052199,-0.08918089,-0.1042997,0.03904643,0.04398789,-0.2433171,1.129187,-0.05662048,-0.1808118,-0.2579211,-0.431484,-0.4644359,1.052199,-0.08918089,0.04937476,-0.1210703,-0.002181937,-0.361858,1.513167,-0.2798638,0.04939039,-0.1216346,-0.002012815,-0.3655331,1.511713,-0.2653736,-0.03138118,0.003591309,-0.01830551,0.02849934,0.002317368,-0.01780579,-0.07235718,-0.2477112,0.9661255,-0.1833649,-0.243866,0.952301,-0.3541801,-0.3365332,0.8725262,-0.3625971,1.516436,-0.2828634,0.00371756,0.003773987,0.506807,0.4544488,0.3630604,0.4896742,
0.05979919,51663528977,-0.1086288,0.04529404,0.03723045,-0.2414016,1.131285,-0.05602127,-0.180869,-0.2587818,-0.4268095,-0.4652113,1.052475,-0.08838981,-0.1086288,0.04529404,0.03723045,-0.2414016,1.131285,-0.05602127,-0.180869,-0.2587818,-0.4268095,-0.4652113,1.052475,-0.08838981,0.04935083,-0.120814,-0.002249244,-0.3617941,1.513187,-0.2798687,0.04939499,-0.1213307,-0.002078695,-0.3654952,1.511713,-0.2653681,-0.03140695,0.003607941,-0.01845168,0.02848219,0.002251923,-0.01757913,-0.07870483,-0.2674255,0.9603424,-0.1811218,-0.2315521,0.9557953,-0.3553344,-0.3400325,0.8706983,-0.3625999,1.516407,-0.2828282,0.003557739,0.003679794,0.5050022,0.4585302,0.3630299,0.4877891,
0.05979919,51663537308,-0.1086288,0.04529404,0.03723045,-0.2414016,1.131285,-0.05602127,-0.180869,-0.2587818,-0.4268095,-0.4652113,1.052475,-0.08838981,-0.1086288,0.04529404,0.03723045,-0.2414016,1.131285,-0.05602127,-0.180869,-0.2587818,-0.4268095,-0.4652113,1.052475,-0.08838981,0.04935083,-0.120814,-0.002249244,-0.3617941,1.513187,-0.2798687,0.04937541,-0.1210788,-0.002178603,-0.3654633,1.511707,-0.2653764,-0.03136336,0.003684082,-0.01875069,0.02849423,0.002227249,-0.0179007,-0.07984924,-0.2495728,0.9650421,-0.1819305,-0.240097,0.953537,-0.3561706,-0.3353703,0.8721636,-0.3624748,1.516456,-0.2831286,0.003630142,0.003574325,0.5060783,0.4555858,0.3627334,0.4926945,
0.05979919,51663545640,-0.1086288,0.04529404,0.03723045,-0.2414016,1.131285,-0.05602127,-0.180869,-0.2587818,-0.4268095,-0.4652113,1.052475,-0.08838981,-0.1086288,0.04529404,0.03723045,-0.2414016,1.131285,-0.05602127,-0.180869,-0.2587818,-0.4268095,-0.4652113,1.052475,-0.08838981,0.04935083,-0.120814,-0.002249244,-0.3617941,1.513187,-0.2798687,0.04937476,-0.1210703,-0.002181937,-0.3654622,1.511707,-0.2653767,-0.03136015,0.003650253,-0.0186983,0.0285029,0.002182846,-0.01774184,-0.0717926,-0.2496033,0.9656677,-0.1938171,-0.2257843,0.9546967,-0.3585088,-0.3285099,0.873815,-0.3624933,1.516407,-0.2830293,0.003679977,0.003587311,0.5074587,0.4562019,0.3613459,0.4904205,
0.05979919,51663553972,-0.1086288,0.04529404,0.03723045,-0.2414016,1.131285,-0.05602127,-0.180869,-0.2587818,-0.4268095,-0.4652113,1.052475,-0.08838981,-0.1086288,0.04529404,0.03723045,-0.2414016,1.131285,-0.05602127,-0.180869,-0.2587818,-0.4268095,-0.4652113,1.052475,-0.08838981,0.04935083,-0.120814,-0.002249244,-0.3617941,1.513187,-0.2798687,0.04937476,-0.1210703,-0.002181937,-0.3654622,1.511707,-0.2653767,-0.03136583,0.00364476,-0.01868687,0.02850026,0.002178558,-0.01775699,-0.09010315,-0.2357788,0.9676056,-0.1820221,-0.2212524,0.9580688,-0.3620773,-0.3192918,0.8757584,-0.3624969,1.516402,-0.2830326,0.003675995,0.003675949,0.5043558,0.4540235,0.3632613,0.4899036,
0.05979919,51663562303,-0.1086288,0.04529404,0.03723045,-0.2414016,1.131285,-0.05602127,-0.180869,-0.2587818,-0.4268095,-0.4652113,1.052475,-0.08838981,-0.1086288,0.04529404,0.03723045,-0.2414016,1.131285,-0.05602127,-0.180869,-0.2587818,-0.4268095,-0.4652113,1.052475,-0.08838981,0.04935083,-0.120814,-0.002249244,-0.3617941,1.513187,-0.2798687,0.04937476,-0.1210703,-0.002181937,-0.3654622,1.511707,-0.2653767,-0.03136743,0.003606598,-0.01856868,0.02848605,0.002211304,-0.01794452,-0.070755,-0.2623444,0.9623718,-0.1862335,-0.2197571,0.9575958,-0.3542253,-0.3318913,0.8742841,-0.3624962,1.516403,-0.2830682,0.00352829,0.0036344,0.5075245,0.4586684,0.3619119,0.4902031,
0.05979919,51663570635,-0.1086288,0.04529404,0.03723045,-0.2414016,1.131285,-0.05602127,-0.180869,-0.2587818,-0.4268095,-0.4652113,1.052475,-0.08838981,-0.1086288,0.04529404,0.03723045,-0.2414016,1.131285,-0.05602127,-0.180869,-0.2587818,-0.4268095,-0.4652113,1.052475,-0.08838981,0.04935083,-0.120814,-0.002249244,-0.3617941,1.513187,-0.2798687,0.04937476,-0.1210703,-0.002181937,-0.3654622,1.511707,-0.2653767,-0.03138382,0.003582382,-0.01851709,0.02849522,0.002141281,-0.01773979,-0.0776062,-0.2234955,0.9716034,-0.1862335,-0.221405,0.9572296,-0.3586219,-0.3135968,0.8792312,-0.3625301,1.516343,-0.28295,0.003890915,0.003617798,0.5057119,0.4524701,0.3623462,0.4909608,
0.05979919,51663578966,-0.1086288,0.04529404,0.03723045,-0.2414016,1.131285,-0.05602127,-0.180869,-0.2587818,-0.4268095,-0.4652113,1.052475,-0.08838981,-0.1086288,0.04529404,0.03723045,-0.2414016,1.131285,-0.05602127,-0.180869,-0.2587818,-0.4268095,-0.4652113,1.052475,-0.08838981,0.04935083,-0.120814,-0.002249244,-0.3617941,1.513187,-0.2798687,0.04937476,-0.1210703,-0.002181937,-0.3654622,1.511707,-0.2653767,-0.0313847,0.003569519,-0.01849925,0.02843672,0.002149734,-0.01791129,-0.07821655,-0.214035,0.9736786,-0.1850739,-0.221344,0.9574585,-0.3586585,-0.3089604,0.8808562,-0.3625405,1.516349,-0.2830315,0.00377832,0.003572235,0.5056679,0.4511073,0.3604368,0.4920798,
0.06962585,51663587298,-0.1090701,0.04629991,0.03873269,-0.2412247,1.131438,-0.05596066,-0.1807281,-0.2590684,-0.4263302,-0.4653499,1.05247,-0.08832866,-0.1090701,0.04629991,0.03873269,-0.2412247,1.131438,-0.05596066,-0.1807281,-0.2590684,-0.4263302,-0.4653499,1.05247,-0.08832866,0.04856531,-0.1203204,-0.001782326,-0.3617631,1.513243,-0.2797485,0.04935525,-0.1208614,-0.0022368,-0.365404,1.511724,-0.2653791,-0.03138402,0.003574921,-0.01854831,0.02845718,0.002097305,-0.01765712,-0.07505798,-0.2521973,0.9647522,-0.1911469,-0.2274323,0.954834,-0.3582847,-0.3304678,0.8731685,-0.3625036,1.516332,-0.282936,0.00356488,0.003477097,0.506292,0.457775,0.3602082,0.4926302,
0.07781219,51663595629,-0.1090298,0.04641744,0.0400299,-0.2412204,1.131589,-0.05577785,-0.1805857,-0.2593208,-0.4260401,-0.4654434,1.05246,-0.08828527,-0.1090298,0.04641744,0.0400299,-0.2412204,1.131589,-0.05577785,-0.1805857,-0.2593208,-0.4260401,-0.4654434,1.05246,-0.08828527,0.04864991,-0.1202887,-0.001513862,-0.3617396,1.513246,-0.2797576,0.04935199,-0.1208263,-0.002245995,-0.3653943,1.511726,-0.2653795,-0.0313709,0.003538956,-0.018478,0.0284548,0.002098724,-0.01769093,-0.07481384,-0.2468719,0.9661407,-0.1896057,-0.2299652,0.9545441,-0.3574749,-0.3291098,0.8740129,-0.3624941,1.516315,-0.2829195,0.003569275,0.003609558,0.5067747,0.4574184,0.3604891,0.4932812,
